feature,pearson_r,abs_r
Duration,-0.5404315550611626,0.5404315550611626
Variance,-0.5103770623334335,0.5103770623334335
rst_count,-0.49351860074688936,0.49351860074688936
Max,-0.4545564075165419,0.4545564075165419
HTTPS,-0.44624313472986654,0.44624313472986654
ack_flag_number,-0.3428738685804471,0.3428738685804471
AVG,-0.3193332940694859,0.3193332940694859
Tot size,-0.3180102995194829,0.3180102995194829
Header_Length,-0.31622150648413616,0.31622150648413616
Tot sum,-0.3090344312128076,0.3090344312128076
Covariance,-0.2958146386052443,0.2958146386052443
urg_count,-0.24257663457467507,0.24257663457467507
syn_count,-0.11043488907408285,0.11043488907408285
Min,-0.09898227192830879,0.09898227192830879
TCP,-0.09036413093996092,0.09036413093996092
syn_flag_number,0.07941820983096376,0.07941820983096376
ICMP,0.06880482295529926,0.06880482295529926
UDP,0.05480481802312021,0.05480481802312021
fin_flag_number,0.047822792030343765,0.047822792030343765
fin_count,0.04226480727713061,0.04226480727713061
