feature,mutual_info
IAT,0.8596519087763159
Min,0.48995047449373486
Tot size,0.4688798733827859
AVG,0.44623714679136994
Tot sum,0.4451056821178123
Max,0.44369178467776194
Protocol Type,0.43593660052066574
Header_Length,0.37462453594469247
Duration,0.2973763854122602
Rate,0.21446129500676192
Covariance,0.21420671742226793
flow_duration,0.20733132633510554
rst_count,0.18920489888187575
Variance,0.18686661160434315
urg_count,0.1782135278980661
IPv,0.1684376319383165
syn_count,0.1129498117027854
ICMP,0.10179828053180207
ack_flag_number,0.09143794564812269
UDP,0.08348337246934667
