feature,pearson_r,abs_r
Protocol Type,0.5423433274454643,0.5423433274454643
Min,0.4459779208087075,0.4459779208087075
AVG,0.2090424669422734,0.2090424669422734
Tot size,0.20894392877128973,0.20894392877128973
ICMP,-0.20753805383554894,0.20753805383554894
UDP,0.2031612448584442,0.2031612448584442
Tot sum,0.20231015949576,0.20231015949576
TCP,-0.18530795089676122,0.18530795089676122
ack_flag_number,-0.1809906856532547,0.1809906856532547
fin_flag_number,-0.14479867922267073,0.14479867922267073
psh_flag_number,-0.14029154686933437,0.14029154686933437
HTTPS,-0.10943814191050302,0.10943814191050302
rst_count,-0.10384430779092137,0.10384430779092137
Header_Length,0.0994865651141,0.0994865651141
fin_count,-0.09855758385363075,0.09855758385363075
Covariance,-0.07572191736859304,0.07572191736859304
Duration,-0.07379097623488529,0.07379097623488529
syn_count,-0.05789908312768591,0.05789908312768591
syn_flag_number,-0.04851675969750159,0.04851675969750159
HTTP,-0.040820781607976704,0.040820781607976704
